episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
182,6,collision,39,9.752136468887329,39.31959657371044,1.0562394857406616,11.031310081481934,0.0,1.0,0.8577417731285095
183,8,collision,17,4.240187168121338,94.93768592178822,1.2849476337432861,14.143234252929688,0.0,1.0,6.601109504699707
184,4,success,78,19.501813650131226,32.7703627794981,0.7660108804702759,18.227453231811523,0.5562176212225225,1.0,0.21221418678760529
185,11,success,28,7.008068561553955,40.74613632261753,1.7927420139312744,7.264186382293701,0.17827914589932461,1.0,1.3887351751327515
186,5,collision,18,4.497499227523804,35.470425352454185,2.832136869430542,20.113676071166992,0.0,1.0,2.1832494735717773
187,4,success,75,18.764593839645386,50.14397112335428,0.8104068040847778,18.227453231811523,0.36350238769426435,1.0,0.4646417796611786
188,6,collision,41,10.260118007659912,23.581171914935112,0.7928687334060669,11.031310081481934,0.0,1.0,0.42590638995170593
189,9,success,38,9.514341115951538,18.236568078398705,12.233739852905273,9.60769271850586,0.526836665605203,1.0,0.29023754596710205
190,7,success,82,20.5226948261261,63.288310661911964,1.62325918674469,20.601032257080078,0.3255108572439452,1.0,0.5683375597000122
191,7,success,87,21.763453006744385,42.8536194562912,1.847166895866394,21.31060791015625,0.4972884013191028,1.0,0.2741093337535858
192,6,success,44,11.022969245910645,54.767443269491196,1.0367628335952759,11.031310081481934,0.20142094322717902,1.0,1.1046972274780273
193,4,success,78,19.52221918106079,49.43472069501877,0.7629668116569519,18.227449417114258,0.3687175564228671,1.0,0.4268087148666382
194,9,success,32,7.999452352523804,94.42436963319778,6.236468315124512,8.280983924865723,0.08769964742189064,1.0,3.019136905670166
195,12,success,37,9.259684801101685,37.22943502664566,12.233739852905273,8.375994682312012,0.22498312629018377,1.0,0.8953961133956909
196,5,collision,17,4.260127305984497,34.97688403725624,3.186478614807129,20.113676071166992,0.0,1.0,2.280632257461548
197,4,success,78,19.531984090805054,29.914174109697342,0.7629647254943848,18.227449417114258,0.6093248421391458,1.0,0.17221665382385254
198,4,success,78,19.525166511535645,60.06077203154564,0.79371178150177,18.227449417114258,0.3034834352036081,1.0,0.5791418552398682
199,8,collision,15,3.736860990524292,33.34910035133362,1.4541890621185303,18.48238754272461,0.0,1.0,2.502046823501587
200,12,success,39,9.750597476959229,75.30189998447895,1.2827683687210083,8.375994682312012,0.11123218250852172,1.0,1.9186303615570068
201,4,success,79,19.771284818649292,36.81476119731087,0.6981792449951172,18.227453231811523,0.4951126297986946,1.0,0.2726193368434906
202,9,success,29,7.26091194152832,51.25901632010937,12.186718940734863,7.419231414794922,0.14474002716833823,1.0,1.7211709022521973
203,1,success,74,18.515137910842896,52.526993351049896,0.820652961730957,14.61979866027832,0.27832924992624014,1.0,0.5874348878860474
204,5,collision,29,7.26182746887207,44.96357551962137,4.147240161895752,20.113676071166992,0.0,1.0,1.552348256111145
205,11,success,31,7.748005390167236,14.62917822599411,33.567359924316406,7.264186382293701,0.49655464374521086,1.0,0.3057561218738556
206,4,success,74,18.51842713356018,74.77365317940712,0.8762041926383972,18.227449417114258,0.24376834141539777,1.0,0.8232336640357971
207,8,collision,17,4.249361753463745,66.94722601026297,1.5280970335006714,15.700240135192871,0.0,1.0,4.576984405517578
208,5,collision,24,5.999186038970947,34.70576238632202,2.2096128463745117,20.113676071166992,0.0,1.0,1.4639941453933716
209,5,collision,32,8.015454292297363,43.74729162454605,4.04081916809082,20.113676071166992,0.0,1.0,1.293764352798462
210,6,success,44,11.014236688613892,38.0571997910738,1.669276475906372,11.031310081481934,0.28986131775436863,1.0,0.7030545473098755
211,12,success,39,9.754923343658447,76.02444213628769,1.6323356628417969,8.375994682312012,0.11017502328128252,1.0,1.94425368309021
212,7,success,72,18.026737928390503,34.27677573263645,1.2969776391983032,17.90993309020996,0.5225092707059116,1.0,0.26274943351745605
